CATEGORY,ARTICLE,DESCRIPTION,DATE,SALES,YEAR,MONTH,QUARTER,MONTH_NAME,IS_HOLIDAY_SEASON
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2020-03-01,100.0,2020,3,1,March,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2020-03-01,100.0,2020,3,1,March,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2020-04-01,0.0,2020,4,2,April,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2020-04-01,0.0,2020,4,2,April,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2020-05-01,0.0,2020,5,2,May,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2020-05-01,0.0,2020,5,2,May,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2020-06-01,5.0,2020,6,2,June,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2020-06-01,5.0,2020,6,2,June,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2020-07-01,0.0,2020,7,3,July,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2020-07-01,0.0,2020,7,3,July,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2020-08-01,120.0,2020,8,3,August,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2020-08-01,120.0,2020,8,3,August,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2020-09-01,12.0,2020,9,3,September,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2020-09-01,12.0,2020,9,3,September,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2020-10-01,3.0,2020,10,4,October,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2020-10-01,3.0,2020,10,4,October,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2020-11-01,8.0,2020,11,4,November,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2020-11-01,8.0,2020,11,4,November,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2020-12-01,34.0,2020,12,4,December,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2020-12-01,34.0,2020,12,4,December,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-01-01,70.0,2021,1,1,January,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-01-01,70.0,2021,1,1,January,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-02-01,42.0,2021,2,1,February,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-02-01,42.0,2021,2,1,February,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-03-01,561.0,2021,3,1,March,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-03-01,561.0,2021,3,1,March,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-04-01,0.0,2021,4,2,April,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-04-01,0.0,2021,4,2,April,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-05-01,10.0,2021,5,2,May,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-05-01,10.0,2021,5,2,May,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-06-01,18.0,2021,6,2,June,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-06-01,18.0,2021,6,2,June,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-07-01,0.0,2021,7,3,July,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-07-01,0.0,2021,7,3,July,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-08-01,0.0,2021,8,3,August,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-08-01,0.0,2021,8,3,August,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-09-01,34.0,2021,9,3,September,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-09-01,34.0,2021,9,3,September,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-10-01,4.0,2021,10,4,October,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-10-01,4.0,2021,10,4,October,1
