CATEGORY,ARTICLE,DESCRIPTION,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec
ELECTRICAL,TOX,PLASTIC TOX #8,0,0,0,0,50,50,30,31,0,10,0,0,0,120,490,435,15,0,0,20,120,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,0,100,0,0,0,20,20,60,0,0,0,0,0,0,0,0,0,10,0,10,0,30,0,0,0,0,30,0,15,100,0,0,0,0,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFRIGERATION,REFRIGERANT ,REFRIGERANT # R-410A,3,17,4,62,48.3,35,92,77,60,56,23,22,11,37.6,50,32,42.6,22.3,34,20,34,16,22,0,0,18,14,0,0,0,25.3,0,0,4,0,9,15,28,19.9,0,10,0,18,0,8,30,0,5,10,5,10,9,22,12,20,11,12,47,19.3,0,14,34,15,59.3,0,42,36,11,38,4,11.3,21
REFRIGERATION,REFRIGERANT ,REFRIGERANT #134-A,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
REFRIGERATION,COPPER TUBE ,"COPPER TUBE 1/2""",18,25,0,10,23,100,85,63,80,23,0,130,0,90,40,80,0,0,0,173,35,35,33,0,0,95,65,0,0,0,50,0,0,30,0,18,20,60,61,0,0,0,0,15,0,25,0,0,0,0,0,0,45,40,185,110,90,175,67,0,52,145,130,170,60,192,425,223,332,95,35,80
REFRIGERATION,REFRIGERANT ,REFRIGERANT #22,0,0,0,49.9,28.6,10,16,30.6,28.6,5,10,0,0,15,5,5,5,0,0,4,10,0,22.7,0,0,15,0,0,0,5,3,0,0,0,0,0,18.6,8,32.2,0,0,0,0,7,0,0,0,0,0,0,3,0,0,34.6,3,0,0,0,6,0,0,0,0,40.8,0,5,10,0,5,13.6,0,0
REFRIGERATION,COPPER TUBE ,"COPPER TUBE  3/8""",0,65,12,510,137,150,487,483,235,318,70,61,40,15,290,179,145,30,205,105,315,40,163,0,30,232,115,0,0,0,20,0,15,10,0,45,15,250,99,0,150,0,120,20,40,160,20,40,150,195,195,70,100,201,250,90,80,230,55,0,165,410,245,425,40,360,345,115,47,50,220,285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTORPOOL,GASOLINE ENGINE OIL,GASOLINE ENGINE OIL ,19,31,18,17,22,18,25,21,24,26,24,12,19,18,27,18,25,29,14,20,20,33,26,6,22,8,3,7,0,11,16,5,17,10,12,5,16,12,15,5,12,10,20,10,11,3,25,11,10,11,12,14,0,9,16,19,23,23,12,1,9,5,22,18,22,11,17,21,19,10,18,11
MOTORPOOL,DIESEL ENGINE OIL,DIESEL ENGINE OIL  SAE 40,15,14,28,21,17,23,5,13,12,18,11,14,15,22,39,20,11,11,17,20,15,19,20,3,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,37,15,9,7,9,0,0,0,0,2,0,0,0,0,27,9,15,11,25,0,9,5,15,9,3,0
MOTORPOOL,AUTOMOTIVE BELT,AUTOMOTIVE BELT 3610 x 1525 A-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
MOTORPOOL,OIL FILTER ,OIL FILTER (SAKURA) C-1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32
MOTORPOOL,OIL FILTER ,OIL FILTER (DAIWA) DC-518/526,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFICE,BOND PAPER,A4  COPY PAPER,34,9,19,20,24,15,23,20,23,24,21,23,33,34,35,19,22,22,37,29,33,42,19,0,42,24,18,1,1,20,19,14,21,29,29,4,22,17,10,6,4,25,22,2,23,14,17,20,26,16,26,20,11,26,27,20,30,15,30,0,29,32,27,20,34,21,25,45,50,35,40,9
OFFICE,TISSUE,"TISSUE/TOILET PAPER, 3-ply, 600 sheets, 100% Virgin Pulp",60,19,11,40,23,28,34,18,42,34,36,12,63,34,29,32,52,52,61,51,1,0,0,0,0,0,0,0,0,0,38,9,29,30,12,37,33,56,15,12,13,43,24,12,61,37,5,19,51,46,57,97,60,104,48,0,72,72,60,0,48,9,156,36,84,84,84,120,132,60,84,72
OFFICE,ALCOHOL,ALCOHOL ISOPROPYL 70% 500ml,4,1,0,5,2,3,2,3,5,4,2,2,5,5,5,0,3,0,1,6,1,5,3,0,6,8,25,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,2,0,0,1,0,2,0,46,78,4,12,6,37,0,0,0,0,0,0
OFFICE,INK,INK EPSON T6641   BLACK,2,2,2,2,0,3,6,2,1,0,1,0,4,5,2,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,4,1,4,3,5,11,0,3,4,3,7,0,1,1,2,7,1,0,3,5,6,9,0,0
